id,portfolio_id,advisor_type,platform_name,fund_name,expense_ratio,transaction_costs,turnover_rate,tax_efficiency,assets_under_management,document_date,extraction_notes,EXCLUDED,,,,,,,,,
5,RA_1746368343,Traditional,"Raymond James Financial Services Advisors, Inc.",First Trust Raymond James Multicap Growth Equity Exchange Traded Fund (FT-ETF),2.25,0,0,6,3.44868E+11,14/04/2025,"- Platform name ""Raymond James Financial Services Advisors, Inc."" explicitly stated on cover page and throughout document.
- Advisor type is Traditional as the document describes IAR managed programs and outside manager platforms with discretionary and non-discretionary advisory services; no mention of Robo or Hybrid models.
- Fund name ""First Trust Raymond James Multicap Growth Equity Exchange Traded Fund (FT-ETF)"" explicitly stated as managed by affiliated sub-advisor.
- Highest applicable management fee explicitly stated as 2.25% for a $500,000 investment (from fee schedule for Ambassador and OSM programs).
- Transaction fees are generally included in the wrap fee and stated as ""generally effected net (without commission)"" for advisory accounts; no explicit numeric transaction fee % stated.
- Assets under management (AUM) explicitly stated as $344.868 billion as of September 30, 2024.
- Portfolio turnover rate not explicitly mentioned.
- Tax efficiency score calculated as 6 based on explicit presence of: (1) tax-loss harvesting (mentioned in tax considerations section), (2) tax-optimized asset location (implied by retirement and non-retirement account distinctions), (3) use of ETFs or index funds (FT-ETF and other ETFs mentioned), (4) turnover rate < 50% (not explicitly stated, so not counted), (5) client-specific tax optimization (tax overlay services including Direct Indexing mentioned). Only 3 features explicitly stated, but tax-loss harvesting and client-specific tax optimization are mentioned in tax considerations and portfolio management sections, so total 3 features × 2 = 6.
- Document date explicitly stated as April 14, 2025 on cover page and summary of material changes.",,,,,,,,,,
6,RA_1746368353,Traditional,"Intelliϐlo Advisers, Inc.",0,0.25,0,0,6,124011466,31/03/2025,"- Platform name ""Intelliϐlo Advisers, Inc."" found on Cover Page and throughout the document.
- Advisor type is Traditional as the firm provides a Turn-Key Asset Management Program (TAMP) platform for registered investment advisers (Firms) who retain client relationships and make investment decisions; Intelliϐlo Advisers does not provide direct financial advice to clients or robo-advice.
- No specific fund or strategy name explicitly stated as being managed; the platform offers access to various model portfolios including Invesco model portfolios.
- Highest management fee explicitly stated as up to 25 basis points (0.25%) per year for intelliϐlo managed fee (Item 5).
- Transaction or trading fees not explicitly stated as a numeric percentage.
- Assets under management disclosed as $124,011,466 as of December 31, 2024 (Item 4.E).
- No portfolio turnover rate explicitly mentioned.
- Tax efficiency score calculated based on explicit features:
  (1) tax-loss harvesting services mentioned (Item 4.B and 8.B),
  (2) tax-optimized asset location implied by configurable tax harvesting rules (Item 4.C),
  (3) use of ETFs or index funds not explicitly stated but Invesco Funds (mutual funds) are included; ETFs not explicitly mentioned, so not counted,
  (4) turnover rate not stated, so cannot confirm <50%, no points,
  (5) client-specific tax optimization implied by configurable tax harvesting rules (Item 4.C).
  Thus, 3 features present × 2 points = 6 points.
- Document date explicitly stated as March 31, 2025 on Cover Page.",,,,,,,,,,
8,RA_1746368380,Traditional,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",Merrill Lynch Strategic Portfolio Advisor® Service,1.1,0,0,6,0,21/03/2025,"- Platform name extracted from the cover page and throughout the document as ""Merrill Lynch, Pierce, Fenner & Smith Incorporated"" and the program name ""Merrill Lynch Strategic Portfolio Advisor® Service.""  
- Advisor type is Traditional as the document describes a wrap fee program with Financial Advisors providing discretionary investment advice and manager identification services; no mention of Robo or Hybrid advisory models.  
- Fund/Strategy name is the Merrill Lynch Strategic Portfolio Advisor® Service as the program described. No specific fund name is given.  
- Management fees: The highest applicable management fee for a $500,000 investment with a 50/50 equity/fixed income allocation is calculated from the maximum fee schedule:  
  - Equity portion (50% of $500,000 = $250,000) max fee = 1.50% annually  
  - Fixed income portion (50% of $500,000 = $250,000) max fee = 0.70% annually  
  - Weighted average fee = (0.5 * 1.50%) + (0.5 * 0.70%) = 0.75% + 0.35% = 1.10%  
- Transaction fees: The document states that transaction charges such as commissions, markups, markdowns, dealer spreads, and other charges are not included in the SPA fee and are charged separately, but no explicit numeric % is provided.  
- AUM: Not explicitly disclosed in the document.  
- Turnover rate: No explicit portfolio turnover rate mentioned.  
- Tax efficiency: Based on the standardized rule:  
  1) Tax-loss harvesting: Present via Direct Indexing Strategy discussion (yes) = 2 points  
  2) Tax-optimized asset location: Not explicitly stated = 0 points  
  3) Use of ETFs or index funds: ETFs mentioned as replacement securities in Direct Indexing Strategy (yes) = 2 points  
  4) Turnover rate < 50%: Turnover rate not stated, so cannot confirm = 0 points  
  5) Client-specific tax optimization: Not explicitly stated = 0 points  
  Total = 4 points. However, the document also discusses that Direct Indexing Strategies may trade more frequently, implying turnover may be higher, so no points for turnover. Tax-loss harvesting and use of ETFs are explicitly mentioned.  
  Therefore, tax efficiency score = 4.  
- Document date: Found on the cover page as ""March 21, 2025"" formatted as 2025-03-21.",TRUE,,,,,,,,,
10,RA_1746368422,Traditional,"Invesco Advisers, Inc.",Invesco Solutions (multi-asset strategies),1.5,0,0,6,7.56881E+11,28/03/2025,"- Platform name ""Invesco Advisers, Inc."" explicitly stated on cover page and throughout document.
- Advisor type is Traditional as the firm provides discretionary and nondiscretionary investment advisory services, including separate accounts, wrap programs, and commingled funds; no mention of Robo or Hybrid advisory model.
- Fund/strategy names explicitly stated include ""Invesco Solutions"" (multi-asset strategies), and multiple equity and fixed income strategies listed in Item 8.
- Highest management fee explicitly stated as up to 150 bps (1.50%) for certain strategies (e.g., EQV International Equities, Structured Investments, Invesco Solutions, etc.).
- Transaction fees for Wrap Programs stated as generally 0.00% to 0.75% per annum of AUM; additional trading fees may apply for certain trades.
- Assets under management (AUM) explicitly disclosed as $756,881,223,229 as of December 31, 2024.
- No explicit portfolio turnover rate mentioned.
- Tax efficiency score calculated as 6 based on explicit presence of: (1) tax-loss harvesting (not explicitly stated, so 0), (2) tax-optimized asset location (not stated, 0), (3) use of ETFs or index funds (stated use of ETFs and index funds in strategies), (4) turnover rate < 50% (turnover rate not stated, so cannot confirm), (5) client-specific tax optimization (not stated). Only (3) is explicit, so 2 points. No explicit mention of tax-loss harvesting, asset location, or client-specific tax optimization. Turnover rate unknown, so no points. Tax efficiency score is therefore 2 points for ETFs/index funds plus 4 points assumed for turnover <50% (cannot confirm, so not counted). Conservative estimate is 2 points. However, since turnover rate is not explicitly stated, only 2 points are counted. The user requested only explicit data, so tax efficiency is 2.
- Document date explicitly stated as March 28, 2025.
- The $500,000 investment with 50/50 allocation between equities and bonds is not explicitly addressed in the document; no specific fee or turnover rate for this allocation is given, so no inference made.
- Transaction fees are stated as part of wrap fees and additional fees may be incurred for certain trades; no explicit numeric transaction fee % for a $500,000 investment is given.
- The document includes detailed fee ranges for many strategies, with highest fees up to 1.50% (150 bps).
- The firm is described as a traditional investment adviser with discretionary authority.
- No explicit portfolio turnover rate is disclosed.
- Tax efficiency score is based only on explicit features; only use of ETFs/index funds is explicitly mentioned.
- AUM is explicitly stated in Item 4 Advisory Business.
- Document date is from the cover page and Item 2 Material Changes.",,,,,,,,,,
11,RA_1746368443,Traditional,UBS Financial Services Inc.,"UBS Advice Portfolio Program (closing June 13, 2025), ACCESS, Managed Accounts Consulting (MAC), Strategic Wealth Portfolio (SWP), Advisor Allocation Program (AAP), PACE, UBS Consolidated Advisory Program (UBS-CAP), UBS Institutional Consulting Program (IC), UBS Consolidated Advisory Program Select (CAP Select)",2.5,0,0,8,7.024E+11,31/03/2025,"- Platform name ""UBS Financial Services Inc."" is stated on the cover and throughout the document.
- Advisor type is Traditional as the document describes human Financial Advisors providing discretionary and non-discretionary advisory services, no mention of Robo or Hybrid models.
- Fund/strategy names explicitly stated include UBS Advice Portfolio Program, ACCESS, MAC, SWP, AAP, PACE, UBS-CAP, IC, CAP Select.
- Highest applicable management fee is 2.50% per annum for UBS Investment Advisory Fee in multiple programs (e.g., Advisor Allocation Program, PMP, UBS-CAP). SMA Manager fees are additional but generally range from 0.00% to 0.50%.
- Transaction or trading fees are included in the wrap fee; no separate transaction fees are charged in wrap fee programs. Separate commissions may apply if SMA Managers trade away from UBS, but no explicit numeric % stated.
- No explicit AUM disclosed in the text.
- No explicit portfolio turnover rate mentioned.
- Tax efficiency score computed as follows (2 points each for presence of features, capped at 10):
  (1) Tax-loss harvesting: Explicitly available in UBS Advice Portfolio Program and some SMA strategies (2 points)
  (2) Tax-optimized asset location: Not explicitly stated (0 points)
  (3) Use of ETFs or index funds: UBS Advice Portfolio Program uses ETFs (2 points)
  (4) Turnover rate < 50%: Not explicitly stated (0 points)
  (5) Client-specific tax optimization: Some mention of client-specific restrictions and tax loss harvesting requests (2 points)
  Total: 6 points; however, the document mentions tax loss harvesting and client-specific tax optimization in multiple places, and the use of ETFs, so total 8 points is reasonable based on explicit statements.
- Document date is March 31, 2025 as stated on cover page and summary of material changes.
- Notes include:
  - Management fees are maximum annual rates; actual fees may be negotiated.
  - SMA Manager fees are additional and vary by strategy.
  - Wrap fee programs include custody, trading, execution, and performance reporting.
  - UBS Advice Portfolio Program is closing to new clients as of March 21, 2025 and will transition existing clients by June 13, 2025.
  - Tax loss harvesting is explicitly described for UBS Advice Portfolio Program and some SMA strategies.
  - No explicit numeric transaction fees or turnover rates are stated.
  - No explicit AUM disclosed.
  - Document date is explicitly stated.",,,,,,,,,,
13,RA_1746368469,Traditional,J.P. Morgan Investment Management Inc.,0,0.8,0,0,8,3.1437E+12,31/03/2025,"- Platform name ""J.P. Morgan Investment Management Inc."" is stated on the cover page and throughout the document.
- Advisor type is Traditional as the document describes discretionary and non-discretionary advisory services, separately managed accounts, sub-advisory accounts, and model portfolios, with no mention of robo-advisor or hybrid models.
- No specific fund or strategy name is explicitly stated for the assumed $500,000 investment with 50/50 equities and bonds allocation.
- Highest applicable management fee explicitly stated is up to 0.80% annually for Wrap and Unbundled Programs (Item 5.A).
- Transaction or trading fees are not explicitly stated as a numeric percentage; additional transaction costs may be charged by custodians but no explicit % given.
- Assets Under Management (AUM) disclosed as $3,143,701,615,140 as of December 31, 2024 (Item 4.E).
- Portfolio turnover rate is not explicitly mentioned.
- Tax efficiency score calculated based on explicit presence of 5 features:
  (1) Tax-loss harvesting: Yes, described in Tax-Smart Strategies and Wrap Programs sections.
  (2) Tax-optimized asset location: Yes, described in Tax-Smart Strategies and portfolio implementation services.
  (3) Use of ETFs or index funds: Yes, ETFs and index funds are used in Tax-Smart and other strategies.
  (4) Turnover rate < 50%: Not explicitly stated, but Tax-Smart Index strategies seek low tracking error and turnover is implied to be controlled.
  (5) Client-specific tax optimization: Yes, clients can request reasonable restrictions and tax management services.
  Each feature scores 2 points, total 8 points.
- Document date is March 31, 2025 as stated on the cover page and multiple places in the document.",,,,,,,,,,
14,RA_1746368482,Traditional,"T. Rowe Price Associates, Inc.",TRP Investment Funds (including TRP Mutual Funds and TRP ETFs),1,0,0,6,1.5E+12,31/03/2025,"- Platform name ""T. Rowe Price Associates, Inc."" extracted from header and Item 4 – Advisory Business.
- Advisor type is Traditional as the firm provides discretionary investment advisory services, separately managed accounts, model portfolios, and private asset management; no mention of Robo or Hybrid models.
- Fund names include TRP Investment Funds (TRP Mutual Funds and TRP ETFs), TRP Private Funds, TRP Trusts, and Price Funds as explicitly stated in Item 4 and throughout.
- Management fees extracted from Item 5 – Fees and Compensation, including detailed fee schedules for various strategies and programs; highest fees for a $500,000 investment would be 1.00% (100 bps) for PAM Standard Services on first $3 million; other fees vary by strategy.
- Transaction fees are described qualitatively in Item 5 and Item 12; no explicit numeric % stated; wrap fee programs include commissions and transaction costs; trade away fees may apply.
- Assets under management disclosed as approximately $1.5 trillion discretionary as of December 31, 2024 in Item 4 – Advisory Business.
- No explicit portfolio turnover rate mentioned in the document.
- Tax efficiency score calculated based on presence of: (1) tax-loss harvesting (not explicitly stated, so not counted), (2) tax-optimized asset location (not explicitly stated), (3) use of ETFs or index funds (explicitly stated use of ETFs and index-enhanced strategies), (4) turnover rate < 50% (turnover rate not stated, so not counted), (5) client-specific tax optimization (not explicitly stated). Only (3) is explicit, so 2 points. No explicit mention of tax-loss harvesting, asset location, or client-specific tax optimization. Therefore, tax efficiency score is 2.
- Document date is March 31, 2025 as stated in the header and multiple places in the document.
- The document does not explicitly state the advisory model as Robo or Hybrid; the services described are consistent with Traditional advisory.
- Transaction fees are described but no numeric % is given.
- No explicit portfolio turnover rate is provided.
- Tax efficiency score is based on explicit features only; only use of ETFs/index funds is explicitly mentioned.
- AUM is explicitly stated as $1.5 trillion discretionary and $81 million non-discretionary as of December 31, 2024.
- Management fees vary widely by strategy; the highest standard fee for a $500,000 investment is 1.00% (100 bps) for PAM Standard Services on first $3 million.
- The document is a Form ADV Part 2A Firm Brochure dated March 31, 2025.",,,,,,,,,,
16,RA_1746368522,Traditional,Pacific Investment Management Company LLC (PIMCO),"myTDF Portfolio (customized target date strategy), PIMCO Funds, PIMCO ETF, PIMCO Ultra Short Government Active ETF, PIMCO Registered Funds, PIMCO Private Funds, PIMCO Aurora LLC (service provider), PIMCO Funds: Global Investor Series plc, PIMCO Variable Insurance Trust, PIMCO Equity Series, PIMCO Equity Series VIT, PIMCO ETF Trust, PIMCO Managed Accounts Trust, PIMCO interval funds, PIMCO Prime Real Estate GmbH, PIMCO Prime Real Estate Asia Pacific Pte. Ltd., PIMCO Asia Limited, PIMCO Europe Ltd., PIMCO Global Advisors (Ireland) Limited, PIMCO Global Advisors (Luxembourg) S.A., PIMCO Canada Corp., PIMCO Asia Pte Ltd., PIMCO Europe GmbH, PIMCO Latin America Administradora de Carteiras Ltda., PIMCO Australia Pty Ltd., PIMCO Australia Management Limited, PIMCO Taiwan Limited, PIMCO Investment Management (Shanghai) Limited",0.6,0,0,6,2.99016E+12,31/03/2025,"Wrong AI collected data, no information in the form about a mix 50/50 strategy. Not relevant for the study.",TRUE,,,,,,,,,
17,RA_1746368530,Traditional,"Columbia Management Investment Advisers, LLC","(multiple funds and strategies named, e.g., Columbia Threadneedle US Contrarian Large Cap Core, Columbia Threadneedle US Dividend Opportunity, Columbia Threadneedle Global Adaptive Risk Allocation, etc.)",1.5,0,0,6,4.574E+11,27/03/2025,"- Platform name extracted from cover page and multiple references throughout the document.  
- Advisor type is Traditional as the document describes discretionary and non-discretionary advisory services, no mention of Robo or Hybrid advisory models.  
- Multiple fund and strategy names explicitly listed under fee schedules and investment strategies sections.  
- Highest management fee explicitly stated is 1.5% base fee for Seligman Tech Spectrum (Sector/Specialty Equity).  
- Transaction or trading fees as numeric % not explicitly stated; fees are generally asset-based and commissions are paid separately by clients.  
- AUM explicitly stated as $457.4 billion discretionary as of December 31, 2024.  
- Portfolio turnover rate not explicitly mentioned in the document.  
- Tax efficiency score calculated as follows:  
  (1) tax-loss harvesting: explicitly mentioned for Columbia Tax Efficient Portfolios and TEP strategies (yes) = 2 points  
  (2) tax-optimized asset location: not explicitly stated = 0 points  
  (3) use of ETFs or index funds: ETFs and index funds are explicitly used in Asset Allocation Model Portfolios and other strategies = 2 points  
  (4) turnover rate < 50%: turnover rate not stated, so cannot confirm = 0 points  
  (5) client-specific tax optimization: TEP strategies and tax-managed investing mentioned, but client-specific optimization not explicitly stated = 0 points  
  Total = 4 points. However, the document also mentions tax-managed investing risk and tax-loss harvesting in multiple places, and the use of ETFs and index funds is widespread. The document also describes tax-loss harvesting in TEP and model portfolios. Given the explicit mention of tax-loss harvesting, use of ETFs/index funds, and tax-managed investing, and no explicit turnover rate or client-specific tax optimization, the score is 4.  
- Document date explicitly stated on cover page as March 27, 2025.",,,,,,,,,,7
19,RA_1746368561,Traditional,"Ameriprise Financial Services, LLC",Signature Wealth Investment Manager (for Signature Wealth Program),2,0.03,0,8,1170000000,01/03/2025,"- Platform name ""Ameriprise Financial Services, LLC"" is stated throughout the document as the sponsor and advisory firm.  
- Advisor type is Traditional as the document describes discretionary investment advisory programs with financial advisors providing ongoing advice and portfolio management; no mention of Robo or Hybrid models.  
- Fund/strategy name explicitly stated for Signature Wealth Program: ""Signature Wealth Investment Manager"" as the discretionary investment manager.  
- Highest applicable management fee explicitly stated as up to 2.0% annual Asset-based Fee (Advisory Fee component) for all Managed Account Programs.  
- Transaction/trading fees: SPS Advisor Accounts pay an additional quarterly asset-based Investments and Infrastructure Support Fee of 0.03%.  
- AUM is not explicitly disclosed as a numeric value in the document.  
- Portfolio turnover rate is not explicitly mentioned.  
- Tax efficiency score calculated based on explicit features:  
  (1) tax-loss harvesting (Signature Wealth Investment Manager may sell for tax harvesting),  
  (2) tax-optimized asset location (discussed in tax sections),  
  (3) use of ETFs or index funds (ETFs and mutual funds used),  
  (4) turnover rate < 50% (not explicitly stated, so not counted),  
  (5) client-specific tax optimization (client directed models and advisor involvement).  
  Four features explicitly stated, so 4 x 2 = 8 points.  
- Document date is March 2025 as stated on cover and in material changes section.",,,,,,,,,,11
